tehsil,district,division,region,city_id,city_name,state,country,lat,lon,csv_lat,csv_lon,match_type
Shirpur,Dhule,Nashik,Khandesh,1256475.0,Shirpur,,IN,21.35,74.883331,,,exact
Amalner,Jalgaon,Nashik,Khandesh,1278931.0,Amalner,,IN,21.049999,75.066673,,,exact
Bhadgaon,Jalgaon,Nashik,Khandesh,1270554.0,Bhadgaon,Maharashtra,IN,20.8167,75.2333,,,manual_correction
Bhusawal,Jalgaon,Nashik,Khandesh,1275778.0,Bhusāval,,IN,21.049999,75.76667,21.03333,75.78333,fuzzy(87.5)
Chalisgaon,Jalgaon,Nashik,Khandesh,1274868.0,Chālisgaon,,IN,20.466669,75.01667,20.55,75.16667,exact
Chopda,Jalgaon,Nashik,Khandesh,1273992.0,Chopda,,IN,21.25,75.300003,21.25,75.33333,exact
Dharangaon,Jalgaon,Nashik,Khandesh,1272874.0,Dharangaon,,IN,21.01667,75.26667,,,exact
Erandol,Jalgaon,Nashik,Khandesh,1272025.0,Erandol,,IN,20.91667,75.333328,,,exact
Jalgaon,Jalgaon,Nashik,Khandesh,1269407.0,Jalgaon,,IN,21.01667,75.566673,21.08333,75.66667,exact
Pachora,Jalgaon,Nashik,Khandesh,1260959.0,Pāchora,,IN,20.66667,75.349998,20.63333,75.48333,exact
Parola,Jalgaon,Nashik,Khandesh,1260274.0,Parola,,IN,20.883329,75.116669,,,exact
Raver,Jalgaon,Nashik,Khandesh,1258307.0,Rāver,,IN,21.25,76.033333,,,exact
Dhadgaon,Nandurbar,Nashik,Khandesh,1270554.0,Dhadgaon,Maharashtra,IN,21.5667,74.0,,,manual_correction
Nandurbar,Nandurbar,Nashik,Khandesh,1261931.0,Nandurbar,,IN,21.366671,74.25,21.38333,74.31667,exact
Shahada,Nandurbar,Nashik,Khandesh,1256750.0,Shāhāda,,IN,21.549999,74.466667,,,exact
Dahanu,Palghar,Konkan,Konkan,1273708.0,Dāhānu,,IN,19.966669,72.73333,,,exact
Jawhar,Palghar,Konkan,Konkan,1269106.0,Jawhār,,IN,19.91667,73.23333,19.86667,73.35,exact
Palghar,Palghar,Konkan,Konkan,1260730.0,Pālghar,,IN,19.683331,72.75,,,exact
Vada,Palghar,Konkan,Konkan,1253610.0,Vāda,,IN,19.65,73.133331,,,exact
Vasai,Palghar,Konkan,Konkan,1253372.0,Vasai,,IN,19.47,72.8,,,exact
Alibag,Raigad,Konkan,Konkan,1279027.0,Alībāg,,IN,18.641109,72.879173,18.65,72.91667,exact
Karjat,Raigad,Konkan,Konkan,1267742.0,Karjat,,IN,18.91667,73.333328,,,exact
Khalapur,Raigad,Konkan,Konkan,1267065.0,Khalapur,Maharashtra,IN,18.8167,73.2667,,,manual_correction
Mahad,Raigad,Konkan,Konkan,1264489.0,Mahād,,IN,18.08333,73.416672,,,exact
Mangaon,Raigad,Konkan,Konkan,1263776.0,Mangaon,Maharashtra,IN,18.1833,73.3333,18.25,73.33333,manual_correction
Mhasala,Raigad,Konkan,Konkan,1263087.0,Mhasla,,IN,18.133329,73.116669,,,fuzzy(92.3076923076923)
Murud,Raigad,Konkan,Konkan,1262403.0,Murud,,IN,18.32583,72.964996,18.3,72.98333,exact
Panvel,Raigad,Konkan,Konkan,1260434.0,Panvel,,IN,18.98333,73.099998,,,exact
Pen,Raigad,Konkan,Konkan,1259931.0,Pen,,IN,18.75,73.083328,,,exact
Roha,Raigad,Konkan,Konkan,1258098.0,Roha,Maharashtra,IN,18.4333,73.1167,,,manual_correction
Shrivardhan,Raigad,Konkan,Konkan,1255619.0,Srīvardhan,,IN,18.033331,73.01667,,,fuzzy(95.23809523809523)
Tala,Raigad,Konkan,Konkan,1255187.0,Tala,Maharashtra,IN,18.2833,73.05,,,manual_correction
Uran,Raigad,Konkan,Konkan,1253702.0,Uran,,IN,18.87694,72.93972,,,exact
Chiplun,Ratnagiri,Konkan,Konkan,1274119.0,Chiplūn,,IN,17.533331,73.51667,,,exact
Guhagar,Ratnagiri,Konkan,Konkan,1270779.0,Guhāgar,,IN,17.48415,73.192886,,,exact
Khed,Ratnagiri,Konkan,Konkan,1266813.0,Khed,,IN,17.72,73.38,18.85,73.93333,manual_correction
Lanja,Ratnagiri,Konkan,Konkan,1265085.0,Lānja,,IN,16.85,73.550003,,,exact
Rajapur,Ratnagiri,Konkan,Konkan,1258911.0,Rajapur,Maharashtra,IN,16.65,73.5167,16.65,73.55,manual_correction
Ratnagiri,Ratnagiri,Konkan,Konkan,1258338.0,Ratnagiri,,IN,16.98333,73.300003,17.13333,73.31667,exact
