observation_id,city,district,division,region,country,latitude,longitude,timestamp_utc,sunrise_utc,sunset_utc,weather_main,weather_desc,weather_id,temp_celsius,feels_like_celsius,temp_min_celsius,temp_max_celsius,humidity_pct,pressure_hpa,visibility_m,wind_speed_mps,wind_deg,cloud_pct,rain_1h_mm,ingestion_timestamp,temp_fahrenheit,wind_speed_kmh,heat_index,date,hour,day_of_week,daylight_hrs,temp_category,humidity_category,weather_severity,record_created_at
59840,Sangola,Solapur,,,IN,17.4333,75.2,2026-07-21 14:00:00,2026-07-21 00:34:00,2026-07-21 13:36:00,Drizzle,light drizzle,300,24.0,26.2,23.0,30.5,92.0,1008.2,4400.0,5.84,238.0,100.0,0.1,20260721_140020,75.2,21.02,23.58,2026-07-21,14,Tuesday,13.03,Moderate,High,Rainy,2026-07-21 14:01:51
59839,Dhamangaon Railway,Amravati,,,IN,20.9833,77.5833,2026-07-21 14:00:00,2026-07-21 00:19:00,2026-07-21 13:32:00,Rain,slight rain showers,520,25.4,29.2,24.3,27.8,91.0,1003.8,3520.0,4.0,252.0,100.0,0.3,20260721_140020,77.72,14.4,24.86,2026-07-21,14,Tuesday,13.22,Moderate,High,Rainy,2026-07-21 14:01:51
59838,Sangole,Solapur,Pune,Western Maharashtra,IN,17.433331,75.199997,2026-07-21 14:00:00,2026-07-21 00:34:00,2026-07-21 13:36:00,Drizzle,light drizzle,300,24.0,26.2,23.0,30.5,92.0,1008.2,4400.0,5.84,238.0,100.0,0.1,20260721_140020,75.2,21.02,23.58,2026-07-21,14,Tuesday,13.03,Moderate,High,Rainy,2026-07-21 14:01:51
59837,Pandharpur,Solapur,Pune,Western Maharashtra,IN,17.66667,75.333328,2026-07-21 14:00:00,2026-07-21 00:33:00,2026-07-21 13:36:00,Drizzle,dense drizzle,302,24.4,27.1,23.5,30.4,89.0,1007.8,4500.0,4.83,242.0,100.0,0.1,20260721_140020,75.92,17.39,23.8,2026-07-21,14,Tuesday,13.05,Moderate,High,Rainy,2026-07-21 14:01:51
59836,Karmala,Solapur,Pune,Western Maharashtra,IN,18.41667,75.199997,2026-07-21 14:00:00,2026-07-21 00:33:00,2026-07-21 13:37:00,Drizzle,moderate drizzle,301,23.8,26.3,22.8,29.7,90.0,1007.3,2880.0,4.52,260.0,100.0,0.2,20260721_140020,74.84,16.27,23.29,2026-07-21,14,Tuesday,13.07,Moderate,High,Rainy,2026-07-21 14:01:51
59835,Barshi,Solapur,Pune,Western Maharashtra,IN,18.23333,75.699997,2026-07-21 14:00:00,2026-07-21 00:31:00,2026-07-21 13:35:00,Drizzle,light drizzle,300,24.3,26.9,22.8,29.4,89.0,1007.4,6780.0,4.67,244.0,100.0,0.1,20260721_140020,75.74,16.81,23.71,2026-07-21,14,Tuesday,13.07,Moderate,High,Rainy,2026-07-21 14:01:51
59834,Akkalkot,Solapur,Pune,Western Maharashtra,IN,17.533331,76.216667,2026-07-21 14:00:00,2026-07-21 00:30:00,2026-07-21 13:32:00,Drizzle,light drizzle,300,24.7,27.6,23.5,31.1,89.0,1007.9,6080.0,4.65,249.0,100.0,0.1,20260721_140020,76.46,16.74,24.08,2026-07-21,14,Tuesday,13.03,Moderate,High,Rainy,2026-07-21 14:01:51
59833,Wai,Satara,Pune,Western Maharashtra,IN,17.933331,73.900002,2026-07-21 14:00:00,2026-07-21 00:39:00,2026-07-21 13:42:00,Drizzle,moderate drizzle,301,22.3,24.9,21.5,24.8,95.0,1008.5,6280.0,3.93,221.0,100.0,0.2,20260721_140020,72.14,14.15,22.09,2026-07-21,14,Tuesday,13.05,Moderate,High,Rainy,2026-07-21 14:01:51
59832,Satara,Satara,Pune,Western Maharashtra,IN,17.683331,73.98333,2026-07-21 14:00:00,2026-07-21 00:39:00,2026-07-21 13:41:00,Drizzle,light drizzle,300,21.8,23.6,21.1,23.8,93.0,1008.6,5020.0,4.66,240.0,100.0,0.1,20260721_140020,71.24,16.78,21.52,2026-07-21,14,Tuesday,13.03,Moderate,High,Rainy,2026-07-21 14:01:51
59831,Phaltan,Satara,Pune,Western Maharashtra,IN,17.98333,74.433327,2026-07-21 14:00:00,2026-07-21 00:37:00,2026-07-21 13:40:00,Clouds,overcast,804,24.2,25.5,22.6,27.6,81.0,1007.5,10620.0,5.7,245.0,100.0,0.0,20260721_140020,75.56,20.52,23.19,2026-07-21,14,Tuesday,13.05,Moderate,High,Cloudy,2026-07-21 14:01:51
59830,Patan,Satara,Pune,Western Maharashtra,IN,17.3833,73.9,2026-07-21 14:00:00,2026-07-21 00:40:00,2026-07-21 13:41:00,Drizzle,light drizzle,300,22.5,25.0,21.6,24.9,96.0,1009.0,12180.0,4.49,249.0,100.0,0.1,20260721_140020,72.5,16.16,22.32,2026-07-21,14,Tuesday,13.02,Moderate,High,Rainy,2026-07-21 14:01:51
59829,Man,Satara,Pune,Western Maharashtra,IN,17.8833,74.4333,2026-07-21 14:00:00,2026-07-21 00:37:00,2026-07-21 13:40:00,Clouds,overcast,804,23.2,24.1,21.8,27.5,85.0,1008.0,8480.0,5.98,240.0,100.0,0.0,20260721_140020,73.76,21.53,22.48,2026-07-21,14,Tuesday,13.05,Moderate,High,Cloudy,2026-07-21 14:01:51
59828,Mahabaleshwar,Satara,Pune,Western Maharashtra,IN,17.91667,73.666672,2026-07-21 14:00:00,2026-07-21 00:40:00,2026-07-21 13:43:00,Rain,moderate rain showers,521,17.2,17.4,16.4,18.5,100.0,1010.0,360.0,4.61,244.0,100.0,0.5,20260721_140020,62.96,16.6,17.2,2026-07-21,14,Tuesday,13.05,Moderate,High,Rainy,2026-07-21 14:01:51
59827,Koregaon,Satara,Pune,Western Maharashtra,IN,18.65,74.083328,2026-07-21 14:00:00,2026-07-21 00:37:00,2026-07-21 13:42:00,Drizzle,moderate drizzle,301,22.7,24.8,22.0,27.4,94.0,1007.6,5860.0,4.84,252.0,100.0,0.1,20260721_140020,72.86,17.42,22.43,2026-07-21,14,Tuesday,13.08,Moderate,High,Rainy,2026-07-21 14:01:51
59826,Khandala,Satara,Pune,Western Maharashtra,IN,18.05,74.0167,2026-07-21 14:00:00,2026-07-21 00:38:00,2026-07-21 13:42:00,Drizzle,light drizzle,300,22.5,25.2,21.8,24.5,93.0,1008.0,7300.0,3.5,226.0,100.0,0.1,20260721_140020,72.5,12.6,22.19,2026-07-21,14,Tuesday,13.07,Moderate,High,Rainy,2026-07-21 14:01:51
59825,Karad,Satara,Pune,Western Maharashtra,IN,17.283331,74.199997,2026-07-21 14:00:00,2026-07-21 00:39:00,2026-07-21 13:39:00,Drizzle,light drizzle,300,22.3,24.5,21.8,25.6,94.0,1009.2,6980.0,4.24,240.0,100.0,0.1,20260721_140020,72.14,15.26,22.04,2026-07-21,14,Tuesday,13.0,Moderate,High,Rainy,2026-07-21 14:01:51
